;Relação dos municípios com as maiores proporções de população  autodeclarada indígena do País, por situação do domicílio - Unidades da Federação - 2010 ;;;;;;;;;;
;Código;Município;Total;;Código;Município;Urbana;;Código;Município;Rural
Rondônia;;;;;;;;;;;
9;2205300;Jerumenha;0,2;;2201903;Bom Jesus;0,3;;2206704;Nazaré do Piauí;0,3
10;2204402;Gilbués;0,2;;2208205;Pio IX;0,2;;2206308;Miguel Leão;0,3
;;;;;;;;;;;
Ceará;;;;;;;;;;;
1;2308609;Monsenhor Tabosa;11,6;;2311009;Poranga;14,1;;2307650;Maracanaú;50,2
2;2311009;Poranga;9,8;;2308609;Monsenhor Tabosa;5,3;;2308609;Monsenhor Tabosa;19,6
3;2306553;Itarema;6,0;;2306553;Itarema;1,4;;2306553;Itarema;9,4
4;2301406;Aratuba;2,8;;2304103;Crateús;1,1;;2301406;Aratuba;3,9
5;2307650;Maracanaú;1,1;;2303709;Caucaia;0,9;;2309706;Pacatuba;2,5
6;2309706;Pacatuba;1,0;;2309706;Pacatuba;0,8;;2311009;Poranga;1,7
7;2304103;Crateús;0,8;;2307650;Maracanaú;0,7;;2309409;Novo Oriente;1,4
8;2303709;Caucaia;0,8;;2303204;Caririaçu;0,5;;2311264;Quiterianópolis;1,1
9;2311264;Quiterianópolis;0,8;;2301000;Aquiraz;0,5;;2306405;Itapipoca;0,7
10;2309409;Novo Oriente;0,7;;2301406;Aratuba;0,5;;2303709;Caucaia;0,7
;;;;;;;;;;;
Rio Grande do Norte;;;;;;;;;;;
1;2405801;João Câmara;1,0;;2406205;Lagoa d'Anta;0,7;;2405801;João Câmara;3,3
2;2406205;Lagoa d'Anta;0,5;;2410702;Riacho da Cruz;0,5;;2404200;Goianinha;0,5
3;2410702;Riacho da Cruz;0,4;;2414456;Triunfo Potiguar;0,3;;2410702;Riacho da Cruz;0,2
4;2404200;Goianinha;0,3;;2403608;Extremoz;0,3;;2407203;Macau;0,2
5;2401404;Baía Formosa;0,3;;2410256;Porto do Mangue;0,3;;2406205;Lagoa d'Anta;0,2
6;2403608;Extremoz;0,2;;2401404;Baía Formosa;0,3;;2402204;Canguaretama;0,2
7;2415008;Vila Flor;0,2;;2413904;Taipu;0,3;;2407401;Martins;0,2
8;2414456;Triunfo Potiguar;0,2;;2404507;Guamaré;0,3;;2401800;Brejinho;0,2
9;2410256;Porto do Mangue;0,2;;2412559;São Miguel do Gostoso;0,2;;2413557;Serrinha dos Pintos;0,1
10;2402204;Canguaretama;0,2;;2409803;Pedro Velho;0,2;;2413359;Serra do Mel;0,1
;;;;;;;;;;;
Paraíba;;;;;;;;;;;
1;2509057;Marcação;77,5;;2509057;Marcação;66,2;;2501401;Baía da Traição;89,1
2;2501401;Baía da Traição;71,0;;2501401;Baía da Traição;42,2;;2509057;Marcação;84,2
3;2512903;Rio Tinto;10,3;;2512903;Rio Tinto;10,8;;2512903;Rio Tinto;9,8
4;2509305;Mataraca;2,8;;2509305;Mataraca;3,0;;2509305;Mataraca;1,2
5;2503209;Cabedelo;0,7;;2503209;Cabedelo;0,7;;2504603;Conde;1,0
6;2504603;Conde;0,6;;2501104;Areia;0,6;;2508604;Lucena;0,8
7;2508604;Lucena;0,4;;2508901;Mamanguape;0,4;;2502151;Boa Vista;0,5
8;2501104;Areia;0,4;;2504603;Conde;0,4;;2501807;Bayeux;0,4
9;2501807;Bayeux;0,3;;2508604;Lucena;0,4;;2504033;Capim;0,3
10;2508901;Mamanguape;0,3;;2513000;Salgadinho;0,3;;2514107;São João do Tigre;0,3
;;;;;;;;;;;
Pernambuco;;;;;;;;;;;
1;2603926;Carnaubeira da Penha;33,6;;2603926;Carnaubeira da Penha;35,9;;2608057;Jatobá;33,2
2;2608057;Jatobá;21,6;;2600500;Águas Belas;13,2;;2603926;Carnaubeira da Penha;33,2
3;2614808;Tacaratu;18,6;;2609303;Mirandiba;9,2;;2610905;Pesqueira;29,7
4;2610905;Pesqueira;14,8;;2610905;Pesqueira;9,0;;2614808;Tacaratu;28,2
5;2603009;Cabrobó;11,8;;2608057;Jatobá;6,5;;2603009;Cabrobó;22,5
6;2600500;Águas Belas;9,1;;2603009;Cabrobó;5,8;;2607406;Itacuruba;14,8
7;2607000;Inajá;8,6;;2607406;Itacuruba;5,4;;2606606;Ibimirim;14,1
8;2606606;Ibimirim;7,1;;2614808;Tacaratu;5,0;;2607000;Inajá;14,0
9;2607406;Itacuruba;6,8;;2611002;Petrolândia;4,8;;2612208;Salgueiro;13,6
10;2611002;Petrolândia;6,6;;2605707;Floresta;3,2;;2605707;Floresta;13,2
;;;;;;;;;;;
Alagoas;;;;;;;;;;;
1;2706422;Pariconha;32,2;;2706422;Pariconha;35,8;;2706422;Pariconha;30,8
2;2707503;Porto Real do Colégio;9,3;;2703304;Inhapi;3,8;;2703809;Joaquim Gomes;17,1
3;2703809;Joaquim Gomes;6,3;;2707503;Porto Real do Colégio;2,9;;2707503;Porto Real do Colégio;12,6
4;2706307;Palmeira dos Índios;2,4;;2706307;Palmeira dos Índios;1,1;;2705101;Matriz de Camaragibe;9,5
5;2703304;Inhapi;1,7;;2708204;São Brás;0,4;;2706307;Palmeira dos Índios;5,8
6;2708808;São Sebastião;1,6;;2705200;Messias;0,4;;2708808;São Sebastião;2,6
7;2702603;Feira Grande;1,2;;2707206;Poço das Trincheiras;0,4;;2702603;Feira Grande;1,4
8;2700102;Água Branca;0,9;;2708006;Santana do Ipanema;0,3;;2700102;Água Branca;1,2
9;2705002;Mata Grande;0,9;;2706406;Pão de Açúcar;0,3;;2705002;Mata Grande;1,1
10;2705101;Matriz de Camaragibe;0,7;;2700805;Belém;0,3;;2705200;Messias;0,8
;;;;;;;;;;;
Sergipe;;;;;;;;;;;
1;2805604;Porto da Folha;1,4;;2802007;Divina Pastora;1,0;;2805604;Porto da Folha;2,1
2;2804300;Muribeca;0,9;;2805109;Pedrinhas;0,7;;2804300;Muribeca;1,5
3;2802007;Divina Pastora;0,7;;2805703;Propriá;0,5;;2804003;Maruim;0,5
4;2805109;Pedrinhas;0,6;;2804805;Nossa Senhora do Socorro;0,5;;2802007;Divina Pastora;0,5
5;2804805;Nossa Senhora do Socorro;0,5;;2806701;São Cristóvão;0,5;;2805109;Pedrinhas;0,4
